menu_start_game_0|Ողջոյն քեզ, ո՛վ օտարական, բարի եկիր ի Mount&Blade Warband: Յառաջ քան զխաղն սկսանիլ, պարտ է քեզ զկերպար քո յօրինել: Ընտրութիւնք քո ի յօրինելն զկերպարդ որոշեսցեն զկարողութիւնս քո սկզբնականս, եւ ազդեսցեն ի վերայ դժուարութեանց զորս գտանիցես ի խաղի աստ:
mno_continue|Յառաջ...
mno_go_back|Յետս դարձիր
menu_start_phase_2|Բազում պատմութիւնք են զաշխարհէն որ կոչի Կալրադիա: Բաժանեալ ի պատերազմաց թագաւորութեանց, ձգէ նա զպատեհախնդիրս, զասպետս, զաշխարհատեսս եւ զյելուզակս, մատուցանելով նոցա զմեծամեծ վտանգս եւ զբազում պատեհութիւնս: Թերեւս եւ դու, թողեալ զանցեալս քո, սկսանիցիս զնոր կեանք ի գաւառի աստ: Զգաս թէ ազատ լինելոց ես յերկրի աստ, եւ զի մեծամեծ արկածք սպասեն քեզ յորում եւ իցէ ճանապարհի: Յաւուր միում, լեալ ի ներքոյ ազդեցութեան սքանչելի պատմութեանցն Կալրադիոյ...
mno_town_1|Յարեցար ի կարաւան երթալոց ի Պրաւէն քաղաք Թագաւորութեանն Սուադիոյ:
mno_town_2|Յարեցար ի կարաւան երթալոց ի Ռէյւատին քաղաք Թագաւորութեանն Վէգիրաց:
mno_town_3|Յարեցար ի կարաւան երթալոց ի Տուլգա քաղաք Խանութեանն Քերգիթաց:
mno_town_4|Ելեր ի նաւ երթալոց ի Սարգոթ քաղաք Թագաւորութեանն Նորդաց:
mno_town_5|Ելեր ի նաւ երթալոց ի Ելկալա քաղաք Թագաւորութեանն Ռոդոկաց:
mno_town_6|Յարեցար ի կարաւան երթալոց ի Շարիզ քաղաք Սուլթանութեանն Սարրանեաց:
menu_start_game_3|Ընտրեա զհանդէս
menu_tutorial|Մերձենաս ի վայր մի ուր բնակիչք տեղւոյն կրթին ի զէնս: Աստ կարես զօրացուցանել զարուեստս քո պատերազմականս:
mno_go_back_dot|Յետս դարձիր:
menu_reports|Զո՞ր տեղեկութիւն կամիս տեսանել:
mno_view_character_report|Տես զտեղեկութիւն կերպարի:
mno_view_party_size_report|Տես զտեղեկութիւն բազմութեան խմբի:
mno_view_npc_mission_report|Տես զտեղեկութիւն առաքելութեանց ընկերաց:
mno_view_weekly_budget_report|Տես զտեղեկութիւն շաբաթական ծախուց:
mno_view_morale_report|Տես զտեղեկութիւն արիութեան խմբի:
mno_lord_relations|Տես զկարգաւորութիւն աւագանւոյ ըստ մտերմութեան:
mno_courtship_relations|Քննեա զյարաբերութիւնս քո ընդ ազնուատոհմիկս:
mno_view_faction_relations_report|Տես զտեղեկութիւն յարաբերութեանց ընդ թագաւորութիւնս:
mno_resume_travelling|Շարունակեա զուղի քո:
menu_custom_battle_scene|Արագ մարտ
menu_custom_battle_end|Պատերազմն աւարտեցաւ: {s1} Խումբ քո սպան զ{reg5} զօրականս, եւ թշնամին սպան զ{reg6} զօրականս: Դու սպաներ զ{reg7} այրս:
menu_start_game_1|Ողջոյն քեզ, ո՛վ օտարական, բարի եկիր ի Mount&Blade Warband: Յառաջ քան զխաղն սկսանիլ, պարտ է քեզ զկերպար քո յօրինել: Ի սկզբանէ, պարտ է քեզ ընտրել զսեռ կերպարի քո:
mno_start_male|Այր
mno_start_female|Կին
menu_start_character_1|Յամաց բազմաց, ի հեռաւոր աշխարհի ծնեալ էիր: Հայր քո...
mno_start_noble|ազնուական ոմն աղքատացեալ էր:
mno_start_merchant|վաճառական շրջուն էր:
mno_start_guard|զօրական վարժեալ էր:
mno_start_forester|որսորդ էր:
mno_start_nomad|խաշնարած դաշտային էր:
mno_start_thief|գող էր:
menu_start_character_2|{s10}^^ Ուսար զաշխարհ զերդ զի սկսար խօսել եւ գնալ: Ի մանկութեան քում...
mno_page|սպասաւոր էիր յապարանս ազնուականի:
mno_apprentice|աշակերտ էիր արհեստաւորի:
mno_stockboy|սպասաւոր էիր կրպակի:
mno_urchin|մանուկ փողոցաց էիր:
mno_nomad|մանուկ դաշտային էիր:
menu_start_character_3|{s11}^^ Յետոյ, ի պատանեկութեան քում, որպէս զի սովոր է, կեանք քո փոփոխեցաւ: Յայնժամ դու...
mno_squire|զինակիր ասպետի էիր:
mno_lady|նաժիշտ ազնուական կնոջ էիր:
mno_troubadour|գուսան էիր:
mno_student|աշակերտ էիր:
mno_peddler|մանրավաճառ էիր:
mno_craftsman|դարբին էիր:
mno_poacher|որսորդ գողունի էիր:
menu_start_character_4|{s12}^^Այլ ապա ամենայն ինչ փոփոխեցաւ, եւ դու վճռեցեր զի երթիցես ի յարկածս առանձինն: Զոր դրդեաց զքեզ ի խորհուրդս զայս...
mno_revenge|վրէժխնդրութիւն էր:
mno_death|կորուստ սիրելւոյ ումեք էր:
mno_wanderlust|ցանկութիւն շրջելոյ յաշխարհի էր:
mno_disown|վտարումն ի տանէ էր:
mno_greed|ագահութիւն արծաթոյ եւ զօրութեան էր:
menu_choose_skill|{s13}
mno_begin_adventuring|Լեր արկածախնդիր եւ վարեա զերիվար քո ընդդէմ բախտի քոյ:
menu_past_life_explanation|{s3}
mno_view_next|{s5}
menu_morale_report|{s1}
menu_courtship_relations|{s1}
menu_lord_relations|{s1}
menu_companion_report|{s7}{s1}
menu_character_report|{s9}
menu_party_size_report|{s1}
menu_faction_relations_report|{s1}
menu_camp|Բանակ հարեր: Զի՞նչ կամիս առնել:
mno_camp_action|Ձեռնարկեա ի գործ:
mno_camp_wait_here|Մնա աստ առ ժամանակ մի:
mno_camp_cheat|ՄԵՆԻՒ ՆԵՆԳՈՒԹԵԱՆՑ!
menu_camp_cheat|Ընտրեա զնենգութիւն:
mno_camp_cheat_find_item|Փոփոխեա զեղանակ օդոյ..
menu_camp_action|Ընտրեա զգործ:
mno_camp_recruit_prisoners|Առ զարս ի գերեաց:
mno_action_read_book|Ընտրեա զմատեան մի յընթերցումն:
mno_action_rename_kingdom|Վերանուանեա զթագաւորութիւն քո:
mno_action_retire|Հանգիր յարկածախնդրութենէ:
mno_camp_action_4|Դարձ ի մենիւ բանակի:
menu_camp_recruit_prisoners|Խոստանաս ազատութիւն գերեաց քոց եթէ յօժարեսցին յարիլ ի քեզ: {s18}
mno_camp_recruit_prisoners_accept|Ընկալ:
mno_camp_recruit_prisoners_reject|Մերժեա:
menu_camp_no_prisoners|Ոչ գոյ քեզ գերի զի յարեսցի ի քեզ:
menu_camp_action_read_book|Ընտրեա զմատեան մի յընթերցումն:
mno_action_read_book_1|{s1}.
mno_action_read_book_2|{s1}.
mno_action_read_book_3|{s1}.
mno_action_read_book_4|{s1}.
mno_action_read_book_5|{s1}.
mno_action_read_book_6|{s1}.
mno_action_read_book_7|{s1}.
menu_camp_action_read_book_start|{s1}
menu_retirement_verify|Յաւուր {reg0} ես: Բախտ քո արդ է {reg1}: Հաստա՞տ ես զի կամիս հանգչիլ:
mno_retire_yes|Այո
mno_retire_no|Ոչ
menu_end_game|Վճռեցաւ, եւ դու թողեալ զարկածախնդիր կեանքդ` հաստատեցար ի բնակութիւն: Վաճառես զզէնս քո եւ զզրահս, ժողովես զարծաթ քո եւ վարես ընդ մուտս արեւու...
mno_end_game_bye|Մնաս բարեաւ
menu_cattle_herd|Գտեր զերամակ արջառոց:
mno_cattle_drive_away|Հեռացո զարջառսն:
mno_cattle_stop|Կեցո զերամակն:
mno_cattle_kill|Սպան զոմանս յանասնոց անտի:
mno_leave|Մեկնեա:
menu_cattle_herd_kill|Քանի՞ անասունս կամիս սպանանել:
mno_cattle_kill_1|Մի:
mno_cattle_kill_2|Երկուս:
mno_cattle_kill_3|Երեք:
mno_cattle_kill_4|Չորս:
mno_cattle_kill_5|Հինգ:
menu_arena_duel_fight|Դու եւ հակառակորդ քո պատրաստիք պատերազմիլ վասն պատուոյ:
menu_simple_encounter|Հանդիպեցար {s2}: {reg10} զօրականք քո պատրաստ են ընդդէմ {reg11} զօրականաց նոցա:
mno_encounter_attack|Յարձակեա ի վերայ թշնամւոյն:
mno_encounter_order_attack|Մինչդեռ դու կաս ի յետս, հրամայեա զօրականաց քոց յարձակիլ ի վերայ թշնամւոյն:
mno_encounter_leave|Մեկնեա:
mno_encounter_retreat|Նահանջեա եւ թող զոմանս ի զօրաց պահպանել զփախուստ քո:
mno_encounter_surrender|Անձնատուր լեր:
menu_encounter_retreat_confirm|Որպէս զի ունիս զմեծագոյն հմտութիւն ռազմավարութեան ({reg2}), յօրինի ծրագիր ոմն ի {reg3?քէն:{s3}} որ տայ քեզ եւ արանց քոց զփախուստ, այլ զի դադարեսցի հալածումն թշնամւոյն, պարտ է քեզ թողուլ զ{reg4} զօրականս ի յետս:
mno_leave_behind|Յառաջ... զոհաբերութիւն արանց այսոցիկ փրկեսցէ զմնացեալսն:
mno_dont_leave_behind|Ոչ, ոք ոչ մնասցէ ի յետս:
menu_encounter_retreat|Հրամայես {reg4} զօրականաց քոց կալ զթշնամին մինչդեռ դու եւ մնացեալքդ նահանջէք:
menu_order_attack_begin|Զօրականք քո պատրաստ են յարձակիլ ի վերայ թշնամւոյն...
mno_order_attack_begin|Տուր զհրաման յարձակման:
mno_call_back|Կոչեա ի յետս:
menu_order_attack_2| {s4}^^Կորուստք քո: {s8}^^Կորուստք թշնամւոյն: {s9}:
mno_order_attack_continue|Հրամայեա զօրականաց քոց շարունակել զյարձակումն:
mno_order_retreat|Կոչեա զզօրականս քո ի յետս:
menu_battle_debrief|{s11} Կորուստք:^^Կորուստք քո:{s8}{s10}^^Կորուստք թշնամւոյն:{s9}
menu_total_victory|Ոչ էր պարտ քեզ զայս ընթերցնուլ... {s9}
menu_enemy_slipped_away|{s17}
menu_permanent_damage|{s0}
mno_s0|{s0}
menu_pre_join|Հանդիպեցար պատերազմի ի միջի {s2} եւ {s1}: Զի՞նչ վճռես...
mno_pre_join_help_attackers|Օգնեա {s2}:
mno_pre_join_help_defenders|Հաս յօգնութիւն {s1}:
mno_pre_join_leave|Մի՛ խառնեսցիս:
menu_join_battle|Յարեցար ի {s2} ընդդէմ {s1}: Ունիս {reg10} զօրականս ընդդէմ {reg11} զօրականաց թշնամւոյն:
mno_join_attack|Յարձակեա ի վերայ թշնամւոյն:
mno_join_order_attack|Կաց ի յետս եւ հրամայեա զօրականաց քոց յարիլ ի դաշնակիցս քո:
mno_join_leave|Մեկնեա:
menu_join_order_attack|{s4} Կորուստք քո: {s8}: Կորուստք դաշնակցաց քոց: {s9}: Կորուստք թշնամւոյն: {s10}:
menu_zendar|Մտանես ի քաղաքն Զէնդար:
mno_zendar_enter| 
mno_zendar_enter_door|Դուռն միջնաբերդի քաղաքին:
mno_zendar_tavern| 
mno_zendar_tavern_door|Դուռն պանդոկին:
mno_zendar_merchant| 
mno_zendar_merchant_door|Դուռն վաճառականին:
mno_zendar_arena| 
mno_zendar_arena_door|Դուռն ասպարիսին:
mno_town_1_leave| 
menu_salt_mine|Մտանես ի հանքս աղի:
mno_enter|Մուտ:
menu_four_ways_inn|Մտանես ի պանդոկն Չորից Ճանապարհաց:
menu_test_scene|Մտանես ի վայր փորձութեան:
menu_dhorak_keep|Մտանես ի բերդն Դհորակ:
menu_join_siege_outside|{s1} պաշարեալ է ի {s2}:
mno_approach_besiegers|Մերձեցիր ի բանակ պաշարողացն:
mno_pass_through_siege|Անց ընդ պաշարումն եւ մուտ ի {s1}:
menu_cut_siege_without_fight|Պաշարողքն տան քեզ մտանել ի դուռն բերդին առանց դժուարութեան:
menu_besiegers_camp_with_allies|{s1} տակաւին պաշարեալ կայ: Ի բանակի պաշարողացն ուր հրաւիրեցար` ծածանին դրօշք {s2}:
mno_talk_to_siege_commander|Խնդրեա զտեսութիւն ընդ հրամանատարի պաշարմանն:
mno_join_siege_with_allies|Յարեա ի յաջորդ յարձակումն:
mno_join_siege_stay_back|Հրամայեա զօրականաց քոց յարձակիլ առանց քո:
